target_abuse_score,target_confidence,target_auto_blocked,total_reports,vt_detections,abuse_score,confidence,threatfox_iocs,mitre_confidence,asshole_score,classification_confidence,usage_type,country_code,threat_category,infrastructure_type,suspicious_isp,young_domain,residential_proxy,verified_identity,published_ip_ranges,signal_abuse_reports,signal_vt_detections,signal_threatfox,signal_suspicious_infra,signal_behavioral,reports_to_vt_ratio,has_ssl_data,ssl_port_open,id
100,100,1,1102,0,100,100,0,90,130.42575512440192,70,"Data Center/Web Hosting/Transit","FR","SCANNER","DATACENTER",0,0,0,0,0,1,0,0,0,1,1102,1,0,"indicator--be7f9d3c-fd7a-4941-bb4e-e7537bc6db6d"
61,61,1,17,0,61,61,0,65,73.55272505103306,50,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,17,1,0,"indicator--8fdd523c-be4a-47a4-b250-fba62bc0bfdc"
100,100,1,168,0,100,100,0,80,122.27886704613674,70,"Fixed Line ISP","HK","UNKNOWN_THREAT","RESIDENTIAL",0,0,1,0,0,1,0,0,0,1,168,1,0,"indicator--5adc3c5a-1920-4a80-8586-bbccdc54e1ca"
46,46,1,69,0,46,46,0,65,64.45098040014257,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,69,1,0,"indicator--f86897c4-6ddd-4699-9357-34f03ad0467c"
100,100,1,411,2,100,100,0,95,128.14897216033134,85,"Data Center/Web Hosting/Transit","US","SCANNER","CLOUD",0,0,0,0,0,1,1,0,0,1,137,1,0,"indicator--79af43fe-bc38-4333-acf2-f28fae3b9b83"
55,60,1,20,0,55,60,0,65,93.2221929473392,55,"Data Center/Web Hosting/Transit","FR","ABUSIVE_ACTOR","DATACENTER",1,0,0,0,0,1,0,0,1,1,20,1,0,"indicator--89830f2d-6f1a-4b50-a0a0-8f0dca0f0f1b"
47,62,1,41,3,47,62,0,70,91.23249290397901,70,"Data Center/Web Hosting/Transit","HK","ABUSIVE_ACTOR","DATACENTER",1,0,0,0,0,1,1,0,1,1,10.25,1,0,"indicator--cdd35260-33c6-45e8-8223-66038b8dee7f"
33,33,1,24,0,33,33,0,65,46.979400086720375,50,"Data Center/Web Hosting/Transit","JP","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,24,1,0,"indicator--c5dbbdc4-71bc-423f-9ca8-e626e8b23869"
62,62,1,46,0,62,62,0,0,78.72097857935718,50,"Content Delivery Network","FR","UNKNOWN_THREAT","UNKNOWN",0,0,0,0,0,1,0,0,0,1,46,1,0,"indicator--266696c8-6e4d-4aee-9740-834c087138ad"
38,43,1,17,0,38,43,0,65,75.55272505103306,55,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","DATACENTER",1,0,0,0,0,1,0,0,1,1,17,1,0,"indicator--5ec7757c-cd1d-421a-9e9a-5be6608e8d4c"
58,58,1,46,0,58,58,0,0,74.72097857935718,50,"Data Center/Web Hosting/Transit","FR","ABUSIVE_ACTOR","DATACENTER",0,0,0,0,0,1,0,0,0,1,46,1,0,"indicator--39f78d19-440b-41bd-8bda-4b1ed2af59b0"
91,91,1,30,0,91,91,0,0,105.91361693834273,60,"Data Center/Web Hosting/Transit","FR","ABUSIVE_ACTOR","DATACENTER",0,0,0,0,0,1,0,0,0,1,30,1,0,"indicator--2f08c227-b8f3-4d08-b532-671fe6960a43"
42,42,1,67,0,42,42,0,65,60.32508912706236,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,67,1,0,"indicator--8bf52cc8-b276-472c-90b8-df36ed79bde2"
100,100,1,893,9,100,100,0,95,138.51337518795918,85,"Data Center/Web Hosting/Transit","DE","MALICIOUS_BOT","CLOUD",0,0,0,0,0,1,1,0,0,1,89.3,1,0,"indicator--67765e13-0a8f-4834-bf2e-da80a0ca24ea"
51,51,1,63,0,51,51,0,65,69.06179973983888,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,63,1,0,"indicator--e43e5b75-2329-4feb-8507-39627fe623ab"
45,45,1,60,0,45,45,0,65,62.85329835010767,60,"Data Center/Web Hosting/Transit","IN","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,60,1,0,"indicator--c1586aa7-8d12-425d-a99f-54e2cd7bfae7"
43,43,1,65,0,43,43,0,65,61.195439355418685,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,65,1,0,"indicator--d9e26aaf-6c6b-4af0-934b-acd5a0ad1f08"
100,100,1,906,7,100,100,0,95,136.57607287060097,85,"Data Center/Web Hosting/Transit","DE","MALICIOUS_BOT","CLOUD",0,0,0,0,0,1,1,0,0,1,113.25,1,0,"indicator--72cc43f5-13ae-484f-bddc-81799118f92a"
80,80,1,17,0,80,80,0,65,92.55272505103306,50,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,17,1,0,"indicator--44ec71c8-9081-4b0e-86f9-065608b6467e"
37,37,1,29,0,37,37,0,65,51.771212547196626,50,"Data Center/Web Hosting/Transit","JP","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,29,1,0,"indicator--ed8a2f53-148a-4441-a28f-d7e91218fa79"
31,31,1,46,0,31,31,0,0,47.72097857935718,50,"Commercial","SE","UNKNOWN_THREAT","UNKNOWN",0,0,0,0,0,1,0,0,0,1,46,1,0,"indicator--0bdaa4f9-0a80-4bf9-b7ff-5c02699b121a"
100,100,1,494,0,100,100,0,90,126.94605198933569,70,"Data Center/Web Hosting/Transit","SG","SCANNER","CLOUD",0,0,0,0,0,1,0,0,0,1,494,1,0,"indicator--2fd3c2c4-8659-487e-9baf-75d4d392bcfd"
52,52,1,74,0,52,52,0,65,70.750612633917,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,74,1,0,"indicator--8ef88a78-5905-4519-b6fc-2ac5918ad0bd"
41,56,1,31,1,41,56,0,65,82.05149978319906,70,"Data Center/Web Hosting/Transit","SG","ABUSIVE_ACTOR","DATACENTER",1,0,0,0,0,1,1,0,1,1,15.5,1,0,"indicator--d092fef3-9c73-4d07-8e10-eba79188011e"
30,30,1,60,0,30,30,0,65,47.85329835010767,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,60,1,0,"indicator--09d44007-bde0-4e8d-af59-62f5cbaa5e45"
33,43,1,18,1,33,43,0,0,46.78753600952829,65,"Commercial","NL","UNKNOWN_THREAT","UNKNOWN",0,0,0,0,0,1,1,0,0,1,9,1,0,"indicator--309b68a1-6424-4daa-b856-df71b1d9a9de"
71,71,1,68,0,71,71,0,65,89.38849090737256,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,68,1,0,"indicator--edbed59e-c701-4671-a68a-d04ec7dec5ff"
30,40,1,8,1,30,40,0,0,40.54242509439325,65,"Fixed Line ISP","CN","UNKNOWN_THREAT","RESIDENTIAL",0,0,1,0,0,1,1,0,0,1,4,1,0,"indicator--a23c44d2-b608-47f1-99d2-d0b4e9f0e6ca"
52,52,1,41,0,52,52,0,65,68.23249290397901,50,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,41,1,0,"indicator--c673f701-3778-4e9f-a161-d1e7fae8eb61"
34,34,1,22,0,34,34,0,65,47.61727836017593,50,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,22,1,0,"indicator--d70f0cc3-db09-46c0-b902-15e99adf7dda"
33,33,1,28,0,33,33,0,65,47.62397997898956,50,"Data Center/Web Hosting/Transit","SG","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,28,1,0,"indicator--4ee82533-e274-4aa1-a286-723089bdac65"
32,32,1,35,0,32,32,0,65,47.56302500767288,50,"Data Center/Web Hosting/Transit","IT","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,35,1,0,"indicator--0d3f30ff-0875-4ccf-a5ca-5b76999cf4f1"
39,44,1,26,0,39,44,0,65,78.31363764158988,55,"Data Center/Web Hosting/Transit","HK","ABUSIVE_ACTOR","DATACENTER",1,0,0,0,0,1,0,0,1,1,26,1,0,"indicator--15a65d81-b9a9-4f4f-bf2a-657ca2d1126a"
100,100,1,378,10,100,100,0,95,135.7863920996807,85,"Data Center/Web Hosting/Transit","NL","MALICIOUS_BOT","DATACENTER",0,0,0,0,0,1,1,0,0,1,34.36363636363637,1,1,"indicator--9c7d58f1-6a62-4418-a01c-8b841d2203da"
26,36,1,9,1,26,36,0,0,37,65,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,1,0,0,1,4.5,1,0,"indicator--f97327a3-3797-4271-ae07-80b0b4280ade"
100,100,1,1068,0,100,100,0,90,130.28977705208777,70,"Fixed Line ISP","NL","UNKNOWN_THREAT","RESIDENTIAL",0,0,1,0,0,1,0,0,0,1,1068,1,0,"indicator--65f60333-2866-4bfb-a2d5-b456df7d6248"
46,46,1,54,0,46,46,0,65,63.403626894942434,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,54,1,0,"indicator--6803d654-727e-4923-a555-a38845d912d3"
56,56,1,71,0,56,56,0,65,74.57332496431269,60,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,71,1,0,"indicator--328c9e3d-54a1-4416-b07b-8f012de05f7d"
49,49,1,39,0,49,49,0,65,65.02059991327963,50,"Data Center/Web Hosting/Transit","US","ABUSIVE_ACTOR","CLOUD",0,0,0,0,0,1,0,0,0,1,39,1,0,"indicator--0ed2c1c5-12a7-4b73-a547-f05b80a25eee"
100,100,1,959,10,100,100,0,95,139.8227123303957,85,"Data Center/Web Hosting/Transit","DE","MALICIOUS_BOT","CLOUD",0,0,0,0,0,1,1,0,0,1,87.18181818181819,1,0,"indicator--761a511c-291f-4d74-9c33-0d8f2b73e7e2"
57,57,1,50,0,57,57,0,0,74.07570176097937,50,"Fixed Line ISP","US","UNKNOWN_THREAT","RESIDENTIAL",0,0,1,0,0,1,0,0,0,1,50,1,0,"indicator--cb2b4024-4bf6-470c-a8df-8193d4cebc67"
