ip,country,raw_abuse,rb_trust_score,xgb_abuse,xgb_confidence,xgb_auto_block,xgb_block_prob,auto_blocked
101.198.0.133,CN,100.0,40.25,99.99,99.99,True,99.9,True
101.198.0.135,CN,100.0,40.25,99.95,99.99,True,99.9,True
101.198.0.140,CN,99.0,40.55,98.97,99.96,True,99.9,True
101.198.0.141,CN,100.0,40.25,99.99,99.99,True,99.9,True
101.198.0.171,CN,100.0,40.25,99.96,99.98,True,99.9,True
101.198.0.181,CN,100.0,42.75,99.99,99.98,True,99.9,True
101.32.49.171,HK,100.0,42.75,99.99,99.98,True,99.9,True
101.36.109.130,HK,100.0,40.25,99.92,99.98,True,99.9,True
101.42.46.71,CN,49.0,54.3,49.14,63.99,True,99.9,True
101.44.160.187,SG,31.0,54.7,31.01,31.02,True,99.9,True
101.44.160.231,SG,35.0,57.25,35.42,44.9,True,99.9,True
101.44.161.135,SG,39.0,52.3,39.01,39.02,True,99.9,True
101.46.1.221,SG,31.0,58.45,30.62,41.01,True,99.9,True
102.33.32.122,ZA,30.0,55.0,30.03,30.03,True,99.9,True
102.33.32.88,ZA,30.0,55.0,30.06,30.03,True,99.9,True
102.68.74.6,ZA,60.0,46.0,60.06,59.96,True,99.9,True
103.112.236.249,BD,36.0,53.2,35.91,35.99,True,99.9,True
103.158.121.26,ID,100.0,39.0,99.99,99.98,True,99.9,True
103.161.189.187,ID,64.0,44.8,63.97,63.98,True,99.9,True
103.250.186.160,IN,100.0,42.75,99.99,99.98,True,99.9,True
103.31.152.248,BD,28.0,59.35,27.72,37.98,True,99.9,True
103.4.250.85,US,34.0,57.55,34.31,43.99,True,99.9,True
103.65.237.216,ID,100.0,39.0,99.99,99.98,True,99.9,True
103.77.107.178,ID,100.0,39.0,99.99,99.98,True,99.9,True
104.192.2.42,US,100.0,40.25,99.99,99.98,True,99.9,True
104.192.3.74,US,85.0,43.5,85.01,84.98,True,99.9,True
104.197.69.115,US,100.0,42.75,99.99,99.98,True,99.9,True
104.198.251.100,US,75.0,41.5,75.16,75.04,True,99.9,True
104.209.7.208,US,26.0,59.95,26.18,36.0,True,99.9,True
104.215.29.182,JP,100.0,39.0,99.99,99.98,True,99.9,True
104.215.31.164,JP,100.0,39.0,99.99,99.98,True,99.9,True
104.236.108.85,US,75.0,45.25,74.78,84.98,True,99.9,True
104.248.243.8,DE,100.0,39.0,99.99,99.98,True,99.9,True
106.53.102.224,CN,44.0,54.55,44.08,49.27,True,99.9,True
106.54.62.156,CN,100.0,40.25,99.92,99.98,True,99.9,True
106.75.24.100,CN,34.0,55.05,34.11,39.04,True,99.9,True
106.75.24.96,CN,33.0,55.35,33.18,38.01,True,99.9,True
106.75.47.91,CN,28.0,60.6,28.08,43.01,True,99.9,True
106.75.49.194,CN,40.0,57.0,40.11,55.08,True,99.9,True
106.75.64.65,CN,32.0,55.65,32.08,37.06,True,99.9,True
106.75.65.140,CN,39.0,53.55,39.09,44.04,True,99.9,True
106.75.98.180,CN,40.0,57.0,40.11,54.91,True,99.9,True
109.243.64.80,PL,54.0,51.55,54.05,64.01,True,99.9,True
110.238.105.111,SG,38.0,60.1,38.19,53.51,True,99.9,True
110.238.105.117,SG,40.0,53.25,39.92,45.0,True,99.9,True
110.238.108.114,SG,21.0,62.7,21.95,36.15,True,99.9,True
110.238.108.89,SG,33.0,55.35,33.01,37.94,True,99.9,True
111.119.193.235,SG,52.0,55.9,52.03,67.0,True,99.9,True
111.119.201.193,SG,23.0,62.1,23.08,38.02,True,99.9,True
111.119.204.90,SG,22.0,62.4,22.11,37.06,True,99.9,True
111.119.212.202,SG,30.0,60.0,30.06,44.99,True,99.9,True
111.119.221.180,SG,36.0,54.45,35.83,41.01,True,99.9,True
111.119.221.42,SG,30.0,56.25,30.01,35.05,True,99.9,True
111.7.100.22,CN,32.0,58.15,31.88,37.02,True,99.9,True
111.7.100.24,CN,22.0,64.9,22.27,37.05,True,99.9,True
111.7.100.25,CN,30.0,62.5,30.21,45.08,True,99.9,True
111.7.100.27,CN,36.0,56.95,36.17,41.11,True,99.9,True
113.31.186.146,CN,100.0,44.0,99.92,99.98,True,99.9,True
116.178.129.58,CN,37.0,52.9,36.95,37.0,True,99.9,True
116.179.32.138,CN,100.0,39.0,99.99,99.98,True,99.9,True
116.179.32.166,CN,97.0,39.9,96.77,96.97,True,99.9,True
116.179.32.236,CN,100.0,39.0,99.99,99.98,True,99.9,True
116.179.32.70,CN,100.0,39.0,99.99,99.98,True,99.9,True
116.179.32.91,CN,100.0,39.0,99.99,99.98,True,99.9,True
118.194.228.7,JP,50.0,54.0,50.01,65.01,True,99.9,True
118.194.230.61,JP,48.0,54.6,48.23,62.97,True,99.9,True
119.12.174.128,HK,32.0,55.65,32.09,37.06,True,99.9,True
119.13.101.215,SG,37.0,54.15,37.11,42.08,True,99.9,True
119.13.103.99,SG,42.0,56.4,41.95,56.99,True,99.9,True
119.13.111.210,SG,31.0,55.95,30.91,36.03,True,99.9,True
119.13.87.195,HK,42.0,56.4,41.98,57.02,True,99.9,True
119.13.89.201,HK,31.0,55.95,30.92,36.03,True,99.9,True
119.249.100.112,CN,91.0,41.7,90.75,91.05,True,99.9,True
119.249.100.117,CN,100.0,39.0,99.99,99.98,True,99.9,True
119.249.100.176,CN,100.0,39.0,99.99,99.98,True,99.9,True
119.249.100.238,CN,100.0,39.0,99.99,99.98,True,99.9,True
119.249.100.239,CN,100.0,39.0,99.99,99.98,True,99.9,True
119.249.100.240,CN,100.0,39.0,99.99,99.98,True,99.9,True
119.249.100.242,CN,100.0,39.0,99.99,99.98,True,99.9,True
119.249.100.243,CN,100.0,39.0,99.99,99.98,True,99.9,True
119.249.100.44,CN,100.0,39.0,99.99,99.98,True,99.9,True
119.249.100.45,CN,100.0,39.0,99.99,99.98,True,99.9,True
